age,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies
61,Single,High School,45651.9,3804.32,Retired,0.165,798,13626.57,Debt consolidation,8.47,36,429.97,B4,4,27063.88,13475.56,1,0,3
38,Single,Bachelor's,41960.71,3496.73,Employed,0.256,705,10508.94,Business,12.01,36,349.1,C5,5,58285.79,19247.91,2,0,2
41,Single,Bachelor's,27707.6,2308.97,Employed,0.069,673,10351.45,Debt consolidation,14.6,36,356.81,C5,8,35407.59,25604.13,2,0,2
34,Divorced,Master's,30669.57,2555.8,Student,0.238,640,7004.78,Debt consolidation,11.31,36,230.36,D4,2,31384.29,28893.37,2,0,4
35,Single,Bachelor's,39048.29,3254.02,Employed,0.13,645,11347.16,Other,14.43,36,390.19,D3,4,32459.61,20814.96,4,0,4
35,Divorced,High School,46534.68,3877.89,Employed,0.275,690,16949.3,Debt consolidation,7.4,60,338.82,C5,7,41879.73,27618.75,1,0,4
66,Married,Master's,12602.72,1050.23,Employed,0.051,658,17816.79,Debt consolidation,11.15,36,584.57,D5,5,23242.22,21564.48,2,0,2
70,Single,High School,54773.62,4564.47,Unemployed,0.109,636,27167.95,Debt consolidation,15.43,60,652.47,D1,5,39163.88,30922.69,3,0,5
50,Single,High School,93630.13,7802.51,Employed,0.203,713,1428.03,Debt consolidation,13.36,36,48.36,C2,8,108022.2,72667.71,1,0,2
48,Married,Bachelor's,13345.65,1112.14,Self-employed,0.311,650,21227.64,Education,13.95,36,725.0,D5,3,14875.25,13799.18,5,0,7
26,Married,High School,39410.87,3284.24,Self-employed,0.104,744,20956.51,Medical,11.2,36,688.08,B4,5,49714.28,33752.18,3,0,3
22,Married,Bachelor's,23696.42,1974.7,Employed,0.158,642,500.0,Debt consolidation,15.14,60,11.93,D4,5,36883.5,4792.25,3,0,3
57,Married,Other,36668.05,3055.67,Unemployed,0.038,686,18573.36,Medical,11.99,36,616.81,C1,6,52299.8,44606.56,1,0,2
36,Married,High School,53419.63,4451.64,Employed,0.267,637,1820.12,Debt consolidation,15.03,36,63.12,D1,4,45403.77,41035.91,1,0,1
73,Single,Master's,23467.66,1955.64,Employed,0.15,649,3948.03,Debt consolidation,11.89,60,87.6,D2,6,36266.68,22513.88,2,0,3
39,Married,Bachelor's,39640.08,3303.34,Employed,0.275,691,16322.23,Debt consolidation,15.05,36,566.22,C5,2,23748.1,5801.45,1,0,4
36,Single,High School,30571.21,2547.6,Employed,0.173,778,17547.12,Debt consolidation,11.72,60,387.85,B3,5,47463.14,37354.61,0,0,2
22,Married,High School,31217.14,2601.43,Employed,0.206,759,25832.14,Car,11.53,36,852.21,B3,13,29301.76,17951.71,1,0,1
71,Married,Master's,17178.74,1431.56,Student,0.499,639,22716.37,Medical,12.69,36,762.02,D4,4,25657.74,20604.58,2,0,3
25,Married,Bachelor's,18997.24,1583.1,Employed,0.104,572,2449.32,Education,15.16,36,85.1,F2,4,24452.66,14120.91,2,0,3
67,Single,Bachelor's,47623.67,3968.64,Employed,0.039,798,13217.65,Debt consolidation,12.22,36,440.41,B2,4,32195.43,30369.5,2,0,3
31,Divorced,Bachelor's,16023.9,1335.32,Employed,0.23,690,12989.94,Business,11.64,36,429.22,C5,11,28229.76,10532.03,0,0,0
52,Single,Bachelor's,83870.35,6989.2,Unemployed,0.111,620,1825.91,Other,15.46,36,63.71,D3,6,90931.39,77006.11,3,0,4
57,Single,Bachelor's,44659.92,3721.66,Employed,0.202,703,10674.78,Business,11.89,60,236.86,C4,9,36783.75,26417.05,0,0,0
37,Divorced,High School,38133.54,3177.8,Employed,0.022,684,21490.62,Other,14.17,60,501.95,C3,4,32498.4,30104.13,0,0,0
73,Married,Master's,38034.37,3169.53,Employed,0.103,641,8238.28,Car,15.99,60,200.3,D2,6,36165.35,31353.82,2,0,2
42,Single,High School,18030.89,1502.57,Employed,0.399,626,17899.5,Home,11.69,36,591.87,D3,3,20852.62,8803.26,2,0,2
59,Married,Master's,44772.04,3731.0,Unemployed,0.025,670,15990.84,Education,10.39,36,518.91,C4,6,60908.17,57077.87,1,0,1
66,Married,Master's,42375.29,3531.27,Employed,0.103,531,24404.07,Education,15.6,36,853.16,F1,6,59813.04,20794.76,0,0,0
27,Single,Bachelor's,13314.05,1109.5,Employed,0.223,658,6687.62,Home,12.81,60,151.51,D1,5,18627.45,11927.23,0,0,1
28,Married,High School,50991.91,4249.33,Unemployed,0.152,682,8315.23,Debt consolidation,9.99,60,176.63,C5,4,60456.29,11812.36,4,0,7
52,Married,Bachelor's,70160.92,5846.74,Retired,0.055,676,819.61,Other,16.16,36,28.88,C1,7,54634.93,20151.93,1,0,1
75,Married,Bachelor's,21192.42,1766.04,Employed,0.016,673,17456.91,Other,11.48,60,383.75,C2,3,14399.82,2426.28,0,0,0
68,Single,High School,31080.56,2590.05,Employed,0.16,764,13167.28,Education,10.06,36,425.24,B5,4,32976.79,18830.35,4,0,4
22,Married,PhD,94259.07,7854.92,Employed,0.28,713,22509.62,Other,12.13,36,749.04,C4,6,73750.6,43029.75,3,0,4
24,Married,Other,34676.19,2889.68,Self-employed,0.166,622,14447.66,Car,14.75,36,499.07,D5,5,34155.3,9649.62,2,0,2
72,Single,Master's,196687.87,16390.66,Retired,0.097,673,6127.73,Car,12.18,36,204.06,C3,4,274323.16,102915.16,0,0,2
27,Married,High School,42798.99,3566.58,Employed,0.187,827,8214.84,Other,6.03,36,250.02,A5,3,29968.01,2021.02,4,0,5
52,Single,Bachelor's,81123.07,6760.26,Self-employed,0.211,715,12540.84,Vacation,10.0,36,404.66,C2,3,100997.3,84729.56,2,0,2
59,Divorced,Bachelor's,111037.11,9253.09,Employed,0.138,671,11522.84,Other,11.19,36,378.28,C3,5,115606.28,72528.84,2,0,2
45,Married,Bachelor's,53114.45,4426.2,Self-employed,0.176,750,10942.63,Debt consolidation,8.19,60,222.87,B3,3,41079.79,21383.25,1,0,1
32,Married,Bachelor's,49674.03,4139.5,Employed,0.071,637,28935.87,Debt consolidation,14.71,36,998.97,D4,4,76123.38,32935.5,4,0,4
65,Single,High School,10782.16,898.51,Employed,0.034,781,500.0,Debt consolidation,12.55,36,16.74,B2,2,15161.24,6397.32,1,0,1
24,Single,Bachelor's,27061.96,2255.16,Employed,0.293,803,13896.77,Debt consolidation,10.06,36,448.8,A2,5,33319.94,2065.89,3,0,6
69,Married,Bachelor's,32586.53,2715.54,Employed,0.22,683,777.32,Home,13.47,60,17.87,C5,6,41405.67,31458.75,4,0,5
59,Divorced,Master's,58616.69,4884.72,Employed,0.517,524,19670.73,Business,15.52,36,686.91,F3,4,36158.96,6741.93,5,0,5
66,Single,Bachelor's,9835.08,819.59,Employed,0.335,781,18809.86,Debt consolidation,11.72,36,622.24,B5,4,12708.03,9087.36,3,0,3
29,Single,Bachelor's,27181.79,2265.15,Student,0.076,816,15868.76,Car,3.14,36,462.46,A3,5,44586.2,26695.06,1,0,1
43,Single,Other,73773.98,6147.83,Self-employed,0.226,710,4531.38,Home,10.8,36,147.92,C2,7,63629.67,32129.26,1,0,1
29,Single,High School,18084.53,1507.04,Employed,0.025,635,16761.42,Debt consolidation,15.26,36,583.18,D4,2,12379.69,7461.09,2,0,2
57,Married,High School,53885.87,4490.49,Self-employed,0.344,797,15723.92,Debt consolidation,11.27,36,516.79,B3,4,46268.71,43059.83,4,0,4
58,Single,Bachelor's,25302.04,2108.5,Employed,0.135,738,4294.2,Business,13.08,60,97.88,C2,8,30425.12,8980.37,3,0,3
